Movt.,0,1,2,3,4,5,6,7,8,9,10,11
1,24.54,3.95,4.30,7.70,14.25,5.35,6.97,6.82,8.31,6.86,7.17,3.77
2,4.73,2.96,6.76,11.24,16.65,6.38,8.23,9.22,15.05,7.46,6.11,5.23
3/i,6.21,7.04,14.90,7.17,3.62,7.22,13.43,6.28,8.44,6.97,4.87,13.84
3/ii,4.76,9.91,8.08,9.01,11.32,8.34,5.30,3.91,11.16,10.94,9.23,8.02
3/iii,2.21,12.92,8.38,12.60,11.54,2.57,7.27,3.36,6.08,10.43,6.95,15.69
3/iv,2.41,13.35,7.14,6.71,6.71,8.58,7.14,11.17,6.84,13.01,6.17,10.76
3/v,6.62,4.89,11.03,10.26,8.35,6.91,5.61,7.63,10.22,6.62,6.24,15.64
4/i,9.55,10.76,8.26,9.36,8.82,5.00,8.44,7.30,4.93,10.35,8.32,8.91
4/ii,3.76,13.75,9.09,4.87,7.85,7.69,10.10,12.90,8.69,4.91,3.13,13.26
4/iii,2.59,12.24,4.95,4.89,10.70,12.34,11.86,3.29,8.97,11.34,8.79,8.04
4/iv,1.49,13.46,6.61,7.28,12.64,8.64,4.93,10.94,10.23,13.47,3.28,7.00
4/v,1.91,13.95,8.45,12.29,11.39,13.44,10.68,3.04,6.54,4.14,8.08,6.10
5/i,4.24,12.86,7.04,7.98,9.82,6.55,7.24,6.04,10.47,7.70,7.62,12.44
5/ii,5.48,10.96,3.56,4.93,13.42,9.04,10.14,0.00,6.85,17.53,10.96,7.12
5/iii,7.47,10.76,6.58,8.89,7.98,6.11,12.43,6.36,7.27,5.28,9.81,11.05
5/iv,5.78,13.48,3.53,6.90,2.89,25.20,14.77,4.17,4.82,2.89,1.28,14.29
5/v,3.98,8.77,11.84,5.38,2.97,8.33,11.28,9.26,11.16,9.75,6.04,11.25
6/i,7.65,12.63,8.40,5.32,8.74,9.76,7.17,5.53,8.19,9.56,8.12,8.94
6/ii,9.15,11.78,7.22,7.62,7.70,6.76,6.43,8.26,8.69,4.63,5.19,16.56
6/iii,1.12,4.84,17.50,13.41,5.59,7.45,14.15,1.12,18.25,6.70,2.23,7.64
6/iv,2.51,7.43,11.75,16.54,11.39,4.51,6.61,5.92,3.74,7.70,2.28,19.64
6/v,1.18,6.16,7.23,9.99,9.04,6.36,9.61,11.33,9.38,8.10,8.94,12.68
6/vi,0.47,13.03,6.42,12.23,12.14,7.03,10.31,13.17,8.29,5.62,3.80,7.50
7/i,6.59,4.40,6.28,11.15,8.95,5.49,14.29,7.38,4.40,9.26,6.12,15.70
7/ii,7.35,7.22,8.45,10.68,6.84,4.80,10.17,8.07,6.93,9.30,7.41,12.77
7/iii,1.11,29.36,13.02,9.42,11.63,0.33,1.44,2.77,2.49,11.63,10.91,5.87
7/iv,0.78,12.67,5.88,8.09,8.04,12.22,8.11,9.66,10.23,7.90,7.01,9.43
8/i,0.00,9.65,10.36,11.18,8.80,9.12,6.17,8.27,8.23,8.09,7.10,13.02
8/ii,0.00,15.70,7.58,9.42,6.39,7.46,6.93,5.36,13.58,8.38,5.94,13.27
10/i,4.08,18.66,8.75,13.99,2.92,4.08,3.50,6.71,6.41,9.33,13.41,8.16
9/iii,5.42,9.87,4.57,6.99,6.73,9.62,6.77,1.97,15.21,10.77,6.28,15.81
