Movt.,f1,f2,f3,f4,f5,f6
1,0.55,0.73,0.64,0.67,0.60,0.43
2,0.95,0.74,0.78,0.54,0.64,0.46
3/i,0.97,0.87,0.78,0.78,0.88,0.58
3/ii,0.62,0.62,0.59,0.51,0.63,0.34
3/iii,0.90,1.08,0.90,0.82,0.77,0.56
3/iv,0.80,0.80,0.86,0.80,0.70,0.48
3/v,1.05,0.94,1.03,1.03,0.60,0.38
4/i,0.97,0.92,1.15,0.81,0.80,1.04
4/ii,0.60,0.56,0.43,0.52,0.59,0.34
4/iii,0.71,0.67,0.76,0.76,0.71,0.38
4/iv,1.84,2.15,1.53,1.23,0.82,1.23
4/v,1.37,1.81,1.20,0.75,0.75,0.75
5/i,0.40,0.54,0.42,0.45,0.41,0.33
5/ii,1.94,5.83,4.37,3.88,2.07,5.34
5/iii,0.30,0.37,0.37,0.37,0.28,0.20
5/iv,1.44,5.56,2.14,2.78,3.19,1.28
5/v,3.41,2.51,2.28,2.05,2.07,1.83
6/i,0.65,0.35,0.46,0.69,0.35,0.29
6/ii,1.41,0.97,0.97,1.56,0.86,0.49
6/iii,6.72,4.95,6.31,5.86,1.38,2.25
6/iv,2.17,1.32,1.25,0.93,0.91,0.47
6/v,1.88,2.50,2.81,1.25,1.56,4.38
6/vi,1.24,0.69,0.92,0.92,0.61,0.23
7/i,16.88,4.84,8.06,1.61,12.90,4.84
7/ii,0.60,0.66,0.62,0.53,0.59,0.46
7/iii,2.61,3.96,3.96,3.96,2.97,0.99
7/iv,1.53,1.43,2.46,1.23,1.23,0.61
8/i,1.47,1.15,1.15,0.86,0.86,1.00
8/ii,2.02,2.12,1.06,1.23,0.80,0.71
10/i,5.00,6.88,5.00,1.25,5.00,1.88
9/iii,0.94,1.14,0.98,0.65,0.82,0.65
9/iv,4.25,8.79,4.95,2.75,2.35,3.30
9/v,168.30,100.00,50.00,150.00,81.70,250.00
9/vi,1.61,2.81,2.41,1.61,1.61,1.61
10/ii,2.24,2.34,3.13,1.56,1.17,1.56
9/i,2.09,1.78,2.37,2.37,2.37,2.37
10/iv,15.79,36.84,21.05,5.26,5.26,5.26
10/iii,11.66,18.75,6.25,9.38,6.25,6.25
9/ii,1.45,1.48,1.98,1.48,1.19,0.99
10/v,1.58,1.06,2.11,1.58,1.48,1.06
13/ii,1.13,1.06,1.06,0.93,0.80,0.53
11/i,12.04,12.90,9.68,12.90,6.45,9.68
11/ii,2.67,2.67,2.22,1.78,1.43,1.78
11/iii,74.64,60.00,80.00,20.00,40.00,20.00
12/i,1.42,1.29,1.29,1.11,1.29,0.92
12/iii,0.75,0.71,0.85,0.62,0.71,0.57
12/iv,0.84,0.64,0.79,0.64,0.64,0.57
12/ii,0.76,0.63,0.67,0.60,0.75,0.53
13/i,0.79,0.63,0.77,0.63,0.79,0.49
14/iv,0.46,0.62,0.40,0.47,0.33,0.29
13/iii,0.81,0.76,0.65,0.65,0.46,0.49
15/v,0.79,0.74,0.85,0.74,0.74,0.64
13/iv,1.04,0.83,0.74,0.83,0.69,0.56
14/iii,0.58,0.69,0.73,0.58,0.54,0.40
14/vi,0.51,0.67,0.77,0.57,0.45,0.29
14/v,0.58,0.73,0.62,0.58,0.57,0.44
14/ii,0.60,0.61,0.63,0.61,0.58,0.39
14/i,0.62,0.58,0.64,0.59,0.51,0.29
15/i,0.51,0.72,0.63,0.54,0.51,0.36
15/iii,0.92,0.74,0.99,0.86,0.56,0.55
15/ii,0.70,0.76,0.76,0.82,0.47,0.47
15/iv,1.13,1.07,0.95,0.89,0.71,0.48
16/ii,2.81,1.96,1.96,1.96,1.96,0.98
16/iii,3.46,2.08,2.31,1.39,1.46,1.62
16/iv,0.73,1.08,0.90,0.72,0.72,0.54
16/v,1.18,1.08,1.00,0.76,0.61,0.47
16/i,0.83,0.77,0.87,0.77,0.54,0.58
17/i,0.64,0.62,0.64,0.64,0.52,0.32
17/iii,0.59,0.62,0.68,0.53,0.47,0.20
17/ii,0.69,0.59,0.69,0.69,0.55,0.41
18/i,0.68,0.72,0.72,0.76,0.67,0.40
18/ii,0.62,0.65,0.73,0.63,0.63,0.42
18/iii,0.51,0.49,0.55,0.55,0.60,0.41
19/i,0.74,0.68,0.84,0.66,0.72,0.46
19/ii,0.67,0.66,0.70,0.59,0.66,0.42
20/ii,0.50,0.48,0.57,0.58,0.49,0.36
20/i,0.57,0.51,0.44,0.44,0.34,0.22
21/ii,0.40,0.48,0.48,0.48,0.37,0.21
21/i,3.57,2.68,2.68,2.34,2.01,1.00
22/ii,0.66,0.60,0.66,0.66,0.62,0.44
22/i,0.99,0.99,0.99,0.99,0.62,0.37
23/iii,0.66,0.80,0.71,0.71,0.62,0.53
23/ii,0.66,0.66,0.66,0.82,0.66,0.44
23/i,0.65,0.60,0.54,0.71,0.61,0.49
24/i,0.61,0.85,0.80,0.62,0.64,0.62
25/i,0.78,0.91,1.04,1.04,0.70,0.39
24/ii,1.50,1.50,1.88,1.31,1.16,1.69
24/iii,1.52,1.23,0.95,0.76,0.88,0.76
25/iii,0.83,0.68,0.83,0.73,0.74,0.39
25/ii,0.89,0.89,0.89,0.59,0.89,0.50
26,0.49,0.49,0.31,0.37,0.29,0.21
27/iii,0.57,0.63,0.63,0.63,0.50,0.50
27/i,0.60,0.60,0.80,0.60,0.60,0.36
27/ii,0.92,0.73,0.92,0.73,0.79,0.73
28/iii,1.81,0.52,0.45,0.52,0.52,0.19
28/i,1.40,1.08,1.61,1.29,0.80,0.43
28/ii,0.99,1.03,0.53,0.61,0.68,0.30
29/ii,1.32,0.85,0.94,0.85,0.64,0.75
29/i,6.13,2.04,2.45,3.27,1.23,3.27
29/iii,0.70,0.48,0.75,0.70,0.48,0.35
30,1.30,0.82,1.52,1.06,0.69,0.29
31/iv,8.43,4.52,11.30,3.95,2.11,2.26
31/v,3.11,1.27,1.63,1.09,0.65,0.45
31/vi,4.89,2.19,4.90,2.19,0.89,1.28
31/i,3.91,2.73,4.88,2.34,1.31,1.17
31/ii,3.66,2.02,2.16,1.15,0.81,0.58
31/iii,0.27,0.33,0.28,0.33,0.23,0.09
