Movt.,(0),(0 1),(0 2),(0 3),(0 4),(0 5),(0 6),(0 1 2),(0 1 3),(0 1 4),(0 1 5),(0 1 6),(0 2 4),(0 2 5),(0 2 6),(0 2 7),(0 3 6),(0 3 7),(0 4 8),(0 1 2 3),(0 1 2 4),(0 1 2 5),(0 1 2 6),(0 1 2 7),(0 1 3 4),(0 1 3 5),(0 1 3 6),(0 1 3 7),(0 1 4 5),(0 1 4 6),(0 1 4 7),(0 1 4 8),(0 1 5 6),(0 1 5 7),(0 1 5 8),(0 1 6 7),(0 2 3 5),(0 2 3 6),(0 2 3 7),(0 2 4 6),(0 2 4 7),(0 2 4 8),(0 2 5 7),(0 2 5 8),(0 2 6 8),(0 3 4 7),(0 3 5 8),(0 3 6 9),(0 1 2 3 4),(0 1 2 3 5),(0 1 2 3 6),(0 1 2 3 7),(0 1 2 4 5),(0 1 2 4 6),(0 1 2 4 7),(0 1 2 4 8),(0 1 2 5 6),(0 1 2 5 7),(0 1 2 5 8),(0 1 2 6 7),(0 1 2 6 8),(0 1 3 4 6),(0 1 3 4 7),(0 1 3 4 8),(0 1 3 5 6),(0 1 3 5 7),(0 1 3 5 8),(0 1 3 6 7),(0 1 3 6 8),(0 1 3 6 9),(0 1 3 7 8),(0 1 4 5 7),(0 1 4 5 8),(0 1 4 6 8),(0 1 4 6 9),(0 1 4 7 8),(0 2 3 4 6),(0 2 3 4 7),(0 2 3 5 7),(0 2 3 5 8),(0 2 3 6 8),(0 2 4 5 8),(0 2 4 6 8),(0 2 4 6 9),(0 2 4 7 9),(0 3 4 5 8),(0 1 2 3 4 5),(0 1 2 3 4 6),(0 1 2 3 4 7),(0 1 2 3 4 8),(0 1 2 3 5 6),(0 1 2 3 5 7),(0 1 2 3 5 8),(0 1 2 3 6 7),(0 1 2 3 6 8),(0 1 2 3 6 9),(0 1 2 3 7 8),(0 1 2 4 5 6),(0 1 2 4 5 7),(0 1 2 4 5 8),(0 1 2 4 6 7),(0 1 2 4 6 8),(0 1 2 4 6 9),(0 1 2 4 7 8),(0 1 2 4 7 9),(0 1 2 5 6 7),(0 1 2 5 6 8),(0 1 2 5 6 9),(0 1 2 5 7 8),(0 1 2 5 7 9),(0 1 2 6 7 8),(0 1 3 4 5 7),(0 1 3 4 5 8),(0 1 3 4 6 7),(0 1 3 4 6 8),(0 1 3 4 6 9),(0 1 3 4 7 8),(0 1 3 4 7 9),(0 1 3 5 6 8),(0 1 3 5 6 9),(0 1 3 5 7 8),(0 1 3 5 7 9),(0 1 3 5 8 9),(0 1 3 6 7 9),(0 1 3 6 8 9),(0 1 4 5 6 8),(0 1 4 5 8 9),(0 1 4 6 7 9),(0 2 3 4 5 7),(0 2 3 4 5 8),(0 2 3 4 6 8),(0 2 3 4 6 9),(0 2 3 5 6 8),(0 2 3 5 7 9),(0 2 4 5 7 9),(0 2 4 6 8 10),(0 1 2 3 4 5 6),(0 1 2 3 4 5 7),(0 1 2 3 4 5 8),(0 1 2 3 4 6 7),(0 1 2 3 4 6 8),(0 1 2 3 4 6 9),(0 1 2 3 4 7 8),(0 1 2 3 4 7 9),(0 1 2 3 5 6 7),(0 1 2 3 5 6 8),(0 1 2 3 5 6 9),(0 1 2 3 5 7 8),(0 1 2 3 5 7 9),(0 1 2 3 5 8 9),(0 1 2 3 6 7 8),(0 1 2 3 6 7 9),(0 1 2 4 5 6 8),(0 1 2 4 5 6 9),(0 1 2 4 5 7 8),(0 1 2 4 5 7 9),(0 1 2 4 5 8 9),(0 1 2 4 6 7 8),(0 1 2 4 6 7 9),(0 1 2 4 6 8 9),(0 1 2 4 6 8 10),(0 1 2 4 7 8 9),(0 1 2 5 6 8 9),(0 1 3 4 5 6 8),(0 1 3 4 5 7 8),(0 1 3 4 5 7 9),(0 1 3 4 6 7 9),(0 1 3 4 6 8 9),(0 1 3 4 6 8 10),(0 1 3 5 6 7 9),(0 1 3 5 6 8 10),(0 2 3 4 5 6 8),(0 2 3 4 5 7 9),(0 2 3 4 6 7 9),(0 1 2 3 4 5 6 7),(0 1 2 3 4 5 6 8),(0 1 2 3 4 5 6 9),(0 1 2 3 4 5 7 8),(0 1 2 3 4 5 7 9),(0 1 2 3 4 5 8 9),(0 1 2 3 4 6 7 8),(0 1 2 3 4 6 7 9),(0 1 2 3 4 6 8 9),(0 1 2 3 4 6 8 10),(0 1 2 3 4 7 8 9),(0 1 2 3 5 6 7 8),(0 1 2 3 5 6 7 9),(0 1 2 3 5 6 8 9),(0 1 2 3 5 6 8 10),(0 1 2 3 5 7 8 9),(0 1 2 3 5 7 8 10),(0 1 2 3 6 7 8 9),(0 1 2 4 5 6 7 9),(0 1 2 4 5 6 8 9),(0 1 2 4 5 6 8 10),(0 1 2 4 5 7 8 9),(0 1 2 4 5 7 8 10),(0 1 2 4 5 7 9 10),(0 1 3 4 5 6 7 9),(0 1 3 4 5 6 8 9),(0 1 3 4 6 7 9 10),(0 2 3 4 5 6 7 9),(0 1 2 3 4 5 6 7 9),(0 1 2 3 4 5 6 8 9),(0 1 2 3 4 5 6 8 10),(0 1 2 3 4 5 7 8 9),(0 1 2 3 4 5 7 8 10),(0 1 2 3 4 6 7 8 9),(0 1 2 3 4 6 7 8 10),(0 1 2 3 5 6 7 8 10),(0 1 2 3 5 6 7 9 10),(0 1 2 3 4 5 6 7 8 9),(0 1 2 3 4 5 6 7 9 10),(0 1 2 3 4 5 6 8 9 10),(0 1 2 3 4 5 6 7 8 9 10),(0 1 2 3 4 5 6 7 8 9 10 11)
1,5.59,0.20,0.31,1.27,2.79,0.62,0.32,0.00,0.06,0.36,1.28,0.05,0.41,0.80,1.37,0.25,1.05,11.91,6.14,0.01,0.08,0.05,0.31,0.06,0.06,0.32,0.34,1.21,0.22,0.40,0.98,6.80,0.30,0.53,2.04,0.03,0.03,0.54,1.27,0.45,0.39,3.43,0.40,5.09,2.28,1.42,1.59,0.74,0.00,0.09,0.06,0.30,0.06,0.03,0.03,0.27,0.35,0.08,0.88,0.12,0.57,0.03,0.34,1.08,0.03,0.45,0.82,0.09,0.53,0.52,0.41,0.85,3.85,0.71,1.70,0.32,0.00,0.23,0.10,0.76,1.71,1.64,2.54,0.34,0.07,0.71,0.00,0.00,0.00,0.02,0.00,0.21,0.18,0.12,0.11,0.11,0.13,0.03,0.14,0.22,0.00,0.32,0.02,0.06,0.00,0.03,0.31,0.07,0.11,0.12,0.00,0.27,0.12,0.00,0.07,0.26,0.57,0.13,0.13,0.21,0.02,0.72,0.38,0.31,0.08,0.44,0.77,0.00,0.00,0.21,0.21,0.00,0.18,0.15,0.00,0.86,0.02,0.00,0.17,0.02,0.04,0.00,0.00,0.14,0.00,0.03,0.09,0.06,0.28,0.01,0.07,0.00,0.14,0.03,0.00,0.01,0.24,0.00,0.01,0.13,0.09,0.06,0.00,0.05,0.00,0.08,0.15,0.13,0.05,0.11,0.11,0.06,0.06,0.00,0.00,0.00,0.00,0.00,0.02,0.00,0.00,0.00,0.07,0.00,0.00,0.00,0.00,0.04,0.01,0.01,0.05,0.00,0.00,0.01,0.14,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.02,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
2,2.50,0.00,0.00,3.81,9.27,1.46,0.44,0.00,0.00,2.31,2.41,2.39,0.33,1.58,2.80,0.00,2.54,16.14,8.50,0.00,0.43,0.00,0.00,0.00,0.00,1.88,1.58,1.89,0.00,1.28,1.02,4.19,0.79,1.06,2.77,0.00,0.00,2.73,0.72,1.45,1.55,2.29,0.40,7.55,4.54,1.77,2.30,0.43,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.92,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
3/i,27.86,1.25,0.37,1.74,4.94,0.00,0.00,0.00,1.26,3.05,1.53,0.00,0.00,0.00,6.70,0.00,0.35,0.53,0.00,0.00,0.70,0.00,0.84,0.00,1.40,1.86,0.00,0.00,0.46,2.79,0.46,3.25,1.86,1.40,0.94,0.00,0.00,0.00,0.00,0.46,0.00,0.00,0.00,3.35,2.24,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1.67,0.00,1.94,0.94,0.00,0.00,0.00,0.00,0.00,0.00,1.40,0.00,0.00,0.00,1.67,1.67,0.00,1.67,0.94,0.46,0.00,0.00,0.00,1.40,0.00,2.79,0.00,2.77,0.00,1.12,1.67,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.70,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,2.79,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1.40,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1.40,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
3/ii,11.53,4.00,7.57,6.46,9.22,5.46,1.21,0.52,4.72,8.13,0.85,1.32,3.41,0.53,3.65,0.52,1.69,5.11,1.56,0.00,2.10,0.00,0.00,0.00,0.79,0.00,0.79,0.26,1.32,0.79,2.10,0.53,0.00,0.79,0.79,0.00,0.00,0.79,1.30,0.00,0.26,0.00,0.00,0.79,0.79,0.52,0.00,0.00,0.00,0.00,0.00,0.79,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.79,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.26,0.00,0.00,0.00,0.79,0.00,0.00,0.00,0.00,0.00,0.00,0.53,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,4.72,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
3/iii,18.98,4.55,1.14,2.72,3.65,3.89,3.43,0.00,0.45,0.00,0.00,0.00,0.46,0.00,0.00,0.00,0.00,0.46,0.00,0.00,0.00,5.00,0.00,0.00,0.45,0.00,1.82,0.00,0.92,0.92,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1.37,0.00,0.00,0.00,0.46,0.46,0.92,0.92,0.00,3.19,0.00,0.00,0.45,0.00,0.00,0.00,0.22,2.28,0.92,0.00,0.00,0.00,0.00,0.00,0.45,0.00,1.37,0.68,0.92,0.91,0.00,0.00,0.00,0.00,2.05,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,10.67,0.00,0.00,0.00,0.00,0.00,2.05,0.00,3.69,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1.37,0.00,0.00,0.00,0.00,1.37,0.00,0.00,0.00,0.00,0.00,0.68,0.00,1.23,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.92,0.00,0.00,0.00,0.00,0.00,0.00,1.37,0.00,0.00,0.00,0.00,0.00,4.52,2.04,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1.23,0.00,0.00,0.00,2.46,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
3/iv,21.14,1.19,1.19,0.79,0.40,1.19,1.38,0.00,1.16,1.83,0.40,0.72,1.75,0.00,0.27,0.00,2.45,3.48,0.00,0.00,0.00,2.14,0.00,0.00,0.00,0.59,0.00,0.00,3.20,1.55,0.57,1.70,0.48,0.57,0.98,0.00,0.00,1.55,3.08,0.00,0.00,0.00,0.00,0.49,0.00,1.59,0.00,0.00,0.00,2.18,0.00,0.00,2.48,3.50,0.00,1.46,0.00,0.00,1.71,1.46,0.97,0.00,0.00,0.00,0.00,1.66,0.00,2.48,0.00,0.00,0.00,2.91,1.21,2.62,2.95,0.00,0.00,2.33,1.16,0.00,2.48,3.07,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.48,0.00,1.46,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.98,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1.16,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.98,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.48,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
3/v,6.52,1.09,0.00,1.09,2.17,1.09,0.00,0.00,2.17,5.43,0.00,0.00,0.00,2.17,2.54,0.00,2.17,0.00,1.09,0.00,1.09,0.00,0.00,1.09,1.63,1.09,1.09,1.81,0.00,0.00,4.35,1.09,0.00,2.17,1.09,0.00,1.09,4.70,0.00,1.09,0.00,0.00,1.09,1.09,0.00,1.09,0.00,0.00,0.00,0.00,0.73,0.00,2.17,1.09,0.00,5.81,0.00,0.00,0.00,0.00,0.00,3.80,4.35,1.09,0.00,0.00,0.00,0.00,0.00,0.00,10.87,1.09,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1.44,0.00,1.82,0.00,1.09,1.09,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,2.17,0.00,0.00,0.54,0.00,1.63,0.00,0.54,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.71,1.09,0.00,1.09,0.00,0.00,0.00,0.00,0.00,0.00,1.09,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.54,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
4/i,8.75,0.87,1.47,0.87,2.08,1.99,0.78,0.00,0.43,0.26,0.35,0.09,0.17,0.69,0.78,0.00,0.98,1.30,0.00,0.00,0.46,0.00,0.00,0.00,0.00,0.26,0.31,0.63,0.46,0.00,0.76,0.00,0.00,0.15,0.87,0.00,0.00,1.50,0.00,0.00,0.00,0.00,0.00,0.69,0.17,0.69,0.52,0.00,0.00,0.00,0.26,1.38,0.00,0.35,1.59,0.00,0.46,0.00,0.17,2.08,0.00,0.00,2.65,0.00,0.00,0.56,0.00,0.00,1.48,0.17,0.52,2.23,0.91,1.04,11.89,0.00,0.00,0.35,0.00,0.46,0.52,1.13,0.00,0.00,0.00,0.00,0.00,1.04,2.78,0.00,0.00,0.69,0.00,3.81,0.00,0.00,0.00,0.00,0.46,2.24,1.78,2.19,0.00,0.00,0.81,0.00,0.52,1.04,0.52,0.00,0.00,0.31,0.46,0.87,3.04,0.52,0.00,0.46,0.00,0.52,0.00,0.00,0.00,0.52,0.52,0.00,0.00,0.00,0.00,0.00,0.52,0.30,0.00,0.84,0.00,0.00,0.00,0.17,1.37,0.17,0.00,3.11,0.00,1.73,0.17,0.00,1.78,0.00,0.00,0.00,0.00,0.00,0.17,0.00,0.46,0.00,0.00,0.87,0.00,0.00,0.00,0.00,0.00,0.17,0.00,3.10,0.00,0.46,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
4/ii,19.49,5.97,0.45,4.42,8.65,3.60,0.27,0.00,0.79,2.99,1.95,2.62,0.99,0.89,1.27,0.40,0.52,2.30,0.65,0.00,0.00,0.00,0.00,0.00,0.00,1.52,0.00,0.00,2.14,1.19,2.24,3.54,3.36,0.79,0.40,0.00,0.00,1.19,0.00,0.00,0.27,0.00,0.00,0.53,0.00,0.40,0.00,0.00,0.00,0.00,0.00,0.40,0.79,0.00,0.00,0.00,0.99,0.00,0.00,3.44,0.00,0.00,0.00,0.00,0.66,0.00,0.00,0.79,0.00,0.00,0.00,0.00,0.27,0.00,0.53,0.79,0.40,0.00,0.00,0.00,0.40,0.79,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,4.18,0.00,0.00,6.77,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.47,0.00,0.00,1.46,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.79,0.32,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
4/iii,24.67,4.99,2.98,5.40,4.56,3.87,2.83,0.88,0.88,3.22,0.00,1.46,0.00,0.00,0.00,0.00,0.00,0.00,0.88,0.00,0.29,0.00,0.53,0.88,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.84,0.88,0.00,0.00,0.00,0.00,0.00,0.40,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.53,0.00,0.00,0.88,0.40,0.14,2.63,0.00,0.00,0.00,0.00,0.00,0.44,0.00,0.00,0.00,0.00,0.00,0.69,1.99,4.22,1.28,0.44,0.00,0.00,0.40,0.00,0.81,0.88,0.00,0.44,0.40,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,2.82,0.00,0.00,0.40,0.00,0.00,2.13,1.17,0.00,0.00,1.10,0.00,0.38,0.00,0.00,0.00,0.00,0.00,0.00,0.40,0.00,0.00,0.40,4.38,0.00,0.00,0.00,0.00,0.26,2.02,1.85,0.00,1.20,0.80,0.00,0.00,0.00,0.00,0.00,0.00,0.40,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.40,0.00,0.00,0.00,0.00,0.93,0.53,0.00,0.00,0.27,0.00,0.40,0.00,0.00,0.00,0.00,0.00,0.00,0.80,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
