,(0  1  2),(0  1  3),(0  1  4),(0  1  5),(0  1  6),(0  2  4),(0  2  5),(0  2  6),(0  2  7),(0  3  6),(0  3  7),(0  4  8),(0  1  2  3),(0  1  2  4),(0  1  2  5),(0  1  2  6),(0  1  2  7),(0  1  3  4),(0  1  3  5),(0  1  3  6),(0  1  3  7),(0  1  4  5),(0  1  4  6),(0  1  4  7),(0  1  4  8),(0  1  5  6),(0  1  5  7),(0  1  5  8),(0  1  6  7),(0  2  3  5),(0  2  3  6),(0  2  3  7),(0  2  4  6),(0  2  4  7),(0  2  4  8),(0  2  5  7),(0  2  5  8),(0  2  6  8),(0  3  4  7),(0  3  5  8),(0  3  6  9),(0  1  2  3  4),(0  1  2  3  5),(0  1  2  3  6),(0  1  2  3  7),(0  1  2  4  5),(0  1  2  4  6),(0  1  2  4  7),(0  1  2  4  8),(0  1  2  5  6),(0  1  2  5  7),(0  1  2  5  8),(0  1  2  6  7),(0  1  2  6  8),(0  1  3  4  6),(0  1  3  4  7),(0  1  3  4  8),(0  1  3  5  6),(0  1  3  5  7),(0  1  3  5  8),(0  1  3  6  7),(0  1  3  6  8),(0  1  3  6  9),(0  1  3  7  8),(0  1  4  5  7),(0  1  4  5  8),(0  1  4  6  8),(0  1  4  6  9),(0  1  4  7  8),(0  2  3  4  6),(0  2  3  4  7),(0  2  3  5  7),(0  2  3  5  8),(0  2  3  6  8),(0  2  4  5  8),(0  2  4  6  8),(0  2  4  6  9),(0  2  4  7  9),(0  3  4  5  8),(0  1  2  3  4  5),(0  1  2  3  4  6),(0  1  2  3  4  7),(0  1  2  3  4  8),(0  1  2  3  5  6),(0  1  2  3  5  7),(0  1  2  3  5  8),(0  1  2  3  6  7),(0  1  2  3  6  8),(0  1  2  3  6  9),(0  1  2  3  7  8),(0  1  2  4  5  6),(0  1  2  4  5  7),(0  1  2  4  5  8),(0  1  2  4  6  7),(0  1  2  4  6  8),(0  1  2  4  6  9),(0  1  2  4  7  8),(0  1  2  4  7  9),(0  1  2  5  6  7),(0  1  2  5  6  8),(0  1  2  5  6  9),(0  1  2  5  7  8),(0  1  2  5  7  9),(0  1  2  6  7  8),(0  1  3  4  5  7),(0  1  3  4  5  8),(0  1  3  4  6  7),(0  1  3  4  6  8),(0  1  3  4  6  9),(0  1  3  4  7  8),(0  1  3  4  7  9),(0  1  3  5  6  8),(0  1  3  5  6  9),(0  1  3  5  7  8),(0  1  3  5  7  9),(0  1  3  5  8  9),(0  1  3  6  7  9),(0  1  3  6  8  9),(0  1  4  5  6  8),(0  1  4  5  8  9),(0  1  4  6  7  9),(0  2  3  4  5  7),(0  2  3  4  5  8),(0  2  3  4  6  8),(0  2  3  4  6  9),(0  2  3  5  6  8),(0  2  3  5  7  9),(0  2  4  5  7  9),(0  2  4  6  8  10),(0  1  2  3  4  5  6),(0  1  2  3  4  5  7),(0  1  2  3  4  5  8),(0  1  2  3  4  6  7),(0  1  2  3  4  6  8),(0  1  2  3  4  6  9),(0  1  2  3  4  7  8),(0  1  2  3  4  7  9),(0  1  2  3  5  6  7),(0  1  2  3  5  6  8),(0  1  2  3  5  6  9),(0  1  2  3  5  7  8),(0  1  2  3  5  7  9),(0  1  2  3  5  8  9),(0  1  2  3  6  7  8),(0  1  2  3  6  7  9),(0  1  2  4  5  6  8),(0  1  2  4  5  6  9),(0  1  2  4  5  7  8),(0  1  2  4  5  7  9),(0  1  2  4  5  8  9),(0  1  2  4  6  7  8),(0  1  2  4  6  7  9),(0  1  2  4  6  8  9),(0  1  2  4  6  8  10),(0  1  2  4  7  8  9),(0  1  2  5  6  8  9),(0  1  3  4  5  6  8),(0  1  3  4  5  7  8),(0  1  3  4  5  7  9),(0  1  3  4  6  7  9),(0  1  3  4  6  8  9),(0  1  3  4  6  8  10),(0  1  3  5  6  7  9),(0  1  3  5  6  8  10),(0  2  3  4  5  6  8),(0  2  3  4  5  7  9),(0  2  3  4  6  7  9),(0  1  2  3  4  5  6  7),(0  1  2  3  4  5  6  8),(0  1  2  3  4  5  6  9),(0  1  2  3  4  5  7  8),(0  1  2  3  4  5  7  9),(0  1  2  3  4  5  8  9),(0  1  2  3  4  6  7  8),(0  1  2  3  4  6  7  9),(0  1  2  3  4  6  8  9),(0  1  2  3  4  6  8  10),(0  1  2  3  4  7  8  9),(0  1  2  3  5  6  7  8),(0  1  2  3  5  6  7  9),(0  1  2  3  5  6  8  9),(0  1  2  3  5  6  8  10),(0  1  2  3  5  7  8  9),(0  1  2  3  5  7  8  10),(0  1  2  3  6  7  8  9),(0  1  2  4  5  6  7  9),(0  1  2  4  5  6  8  9),(0  1  2  4  5  6  8  10),(0  1  2  4  5  7  8  9),(0  1  2  4  5  7  8  10),(0  1  2  4  5  7  9  10),(0  1  2  4  6  7  8  10),(0  1  3  4  5  6  7  9),(0  1  3  4  5  6  8  9),(0  1  3  4  6  7  9  10),(0  2  3  4  5  6  7  9),(0  1  2  3  4  5  6  7  8),(0  1  2  3  4  5  6  7  9),(0  1  2  3  4  5  6  8  9),(0  1  2  3  4  5  6  8  10),(0  1  2  3  4  5  7  8  9),(0  1  2  3  4  5  7  8  10),(0  1  2  3  4  6  7  8  9),(0  1  2  3  4  6  7  8  10),(0  1  2  3  4  6  7  9  10),(0  1  2  3  5  6  7  8  10),(0  1  2  3  5  6  7  9  10),(0  1  2  4  5  6  8  9  10),(0  1  2  3  4  5  6  7  8  9),(0  1  2  3  4  5  6  7  8  10),(0  1  2  3  4  5  6  7  9  10),(0  1  2  3  4  5  6  8  9  10),(0  1  2  3  4  5  7  8  9  10),(0  1  2  3  4  6  7  8  9  10),(0  1  2  3  4  5  6  7  8  9  10),(0  1  2  3  4  5  6  7  8  9  10  11)
1,2.70,2.54,3.21,2.44,0.95,1.11,0.73,0.86,0.23,0.30,1.51,0.44,1.29,1.52,1.01,1.10,0.19,1.13,0.83,0.62,0.27,1.47,0.45,0.55,1.18,0.28,0.35,0.38,0.10,0.31,0.82,0.47,0.42,0.29,0.33,0.03,0.32,0.19,0.62,0.23,0.01,1.55,0.79,0.55,0.21,1.22,0.41,0.21,0.88,0.54,0.23,0.42,0.52,0.31,0.50,0.57,0.18,0.21,0.16,0.11,0.17,0.21,0.23,0.21,0.45,1.81,0.36,0.14,0.29,0.28,0.91,0.23,0.10,0.30,0.40,0.28,0.12,0.06,0.34,0.55,0.84,0.66,0.34,0.61,0.16,0.25,0.23,0.23,0.15,0.10,0.48,0.42,1.21,0.13,0.49,0.11,0.22,0.28,0.12,0.59,0.57,0.25,0.07,0.31,0.28,0.35,0.10,0.25,0.18,0.21,0.05,0.26,0.14,0.01,0.11,0.16,0.11,0.06,0.96,0.18,0.01,0.25,0.35,0.40,0.14,0.04,0.08,0.06,1.33,0.78,0.37,0.73,0.32,0.64,0.41,0.53,0.07,0.57,0.49,0.71,0.09,0.17,0.26,0.52,0.29,0.60,0.14,0.35,0.41,1.20,0.03,0.05,0.16,0.16,0.34,0.26,0.26,0.09,0.08,0.09,0.20,0.02,0.32,0.61,0.16,0.09,0.13,0.93,0.69,0.65,0.69,0.09,0.22,0.40,0.20,0.41,0.20,0.30,0.41,0.39,0.39,0.36,0.51,0.09,0.08,0.20,0.85,0.18,0.27,0.11,0.36,0.02,0.57,0.25,0.01,0.09,0.55,0.58,1.49,0.31,0.53,0.25,1.06,0.43,0.39,0.14,0.60,0.38,0.41,0.59,1.06,0.46,0.13,0.46,1.75,0.06
2,4.63,7.61,2.82,2.55,0.86,1.75,1.04,0.64,0.68,0.25,0.40,0.03,4.39,5.37,0.98,1.10,0.58,1.20,2.64,0.89,0.21,0.40,0.49,0.28,0.34,0.00,0.92,0.49,0.00,2.24,0.49,1.69,0.37,0.06,0.03,0.06,0.09,0.00,0.03,0.06,0.00,2.88,1.81,1.47,2.33,1.10,0.61,0.80,0.25,0.15,0.43,0.58,0.00,0.12,2.39,0.55,1.10,0.03,0.43,0.92,0.03,0.12,0.00,0.18,0.40,0.40,0.00,0.03,0.18,2.67,0.21,0.71,0.18,0.21,0.06,0.00,0.03,0.00,0.09,1.63,6.01,0.58,0.77,0.25,0.21,1.14,0.18,0.68,0.06,0.00,0.25,0.92,0.58,0.15,0.06,0.00,0.06,0.00,0.00,0.25,0.00,0.06,0.31,0.00,0.83,1.01,0.00,0.00,0.00,0.68,0.00,0.00,0.00,0.03,0.03,0.00,0.00,0.00,0.18,0.12,0.00,0.28,0.03,0.18,0.09,0.25,0.00,0.00,0.00,0.61,1.04,0.98,0.21,0.52,0.37,0.25,0.00,0.58,0.55,0.06,0.06,0.18,0.00,0.00,0.00,0.37,0.52,0.28,0.55,0.31,0.00,0.00,0.00,0.00,0.00,0.00,0.12,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.37,0.00,0.12,0.21,0.55,0.46,0.09,0.15,0.03,0.00,0.00,0.12,0.00,0.03,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.12,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.03,0.00,0.09,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
3/i,8.05,2.13,3.30,1.84,2.42,0.29,2.33,0.48,0.10,0.97,0.29,0.10,5.14,1.75,1.84,1.94,0.10,0.00,0.29,0.48,0.19,1.07,0.78,1.16,0.29,0.58,0.48,0.29,0.29,0.97,0.78,0.19,0.10,0.10,0.00,0.00,0.29,0.00,0.19,0.10,0.00,0.48,4.17,0.97,0.10,0.19,0.58,0.00,0.48,2.23,0.00,0.29,0.97,0.00,0.68,0.10,0.00,0.00,0.00,0.19,0.39,0.19,0.19,0.58,1.26,0.00,0.00,1.07,0.00,0.00,0.29,0.10,0.19,0.19,0.29,0.00,0.00,0.00,0.10,2.13,0.78,0.00,0.00,1.26,0.87,0.29,0.68,0.00,0.00,0.39,0.68,0.39,0.00,0.00,0.00,0.87,0.29,0.00,0.10,0.19,0.87,0.29,0.00,0.00,0.00,0.10,0.00,0.19,0.39,0.00,0.00,0.00,0.00,0.00,0.00,0.29,0.00,0.00,0.19,0.00,0.19,1.07,0.00,0.19,0.00,0.19,0.00,0.00,0.00,0.39,0.58,0.00,0.10,0.29,0.58,0.00,0.00,1.45,0.68,0.00,0.00,0.00,1.16,0.00,0.00,0.00,0.58,0.00,0.00,0.19,0.00,0.10,0.10,0.00,0.29,0.00,0.10,0.00,0.00,0.19,0.00,0.00,0.00,0.00,0.00,1.94,0.00,0.29,0.39,0.00,0.00,0.19,0.00,0.00,0.00,0.00,0.00,0.00,0.10,0.00,0.00,0.00,0.00,0.00,0.00,17.65,0.00,0.00,0.00,0.00,0.00,0.00,0.10,0.00,0.00,0.29,0.00,1.36,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
3/ii,1.90,0.93,0.25,0.68,1.78,0.28,0.62,0.79,0.37,0.34,0.76,0.08,0.62,0.37,0.85,1.13,0.59,0.06,0.40,0.57,0.54,0.03,0.37,0.31,0.11,0.17,0.14,0.08,0.37,0.48,0.28,0.71,0.11,0.88,0.25,0.06,0.03,0.08,0.20,0.06,0.00,0.03,1.27,1.78,1.19,0.20,0.54,0.31,0.48,0.14,0.20,0.00,0.79,0.23,0.17,0.06,0.03,0.03,0.20,0.34,0.54,0.14,0.00,0.17,0.37,0.03,0.11,0.08,0.06,0.03,1.70,0.06,0.14,0.14,0.40,0.11,0.17,0.00,0.03,0.48,0.03,1.56,0.08,0.54,0.17,0.20,1.10,0.40,0.00,0.31,0.08,0.20,0.11,0.34,0.45,0.59,0.17,0.08,0.28,0.06,0.00,0.34,0.00,0.20,0.06,0.11,0.00,0.00,0.14,0.28,0.00,0.08,0.00,0.08,0.08,0.11,0.00,0.00,0.45,0.00,0.11,0.25,0.31,2.10,0.03,0.08,0.06,0.08,0.00,0.23,0.37,0.65,0.59,1.98,0.76,0.57,0.17,0.59,0.31,0.20,0.28,0.00,0.20,0.74,0.85,1.39,0.28,0.08,0.14,0.06,0.88,0.34,0.45,0.11,0.06,0.00,0.06,0.11,0.45,0.11,0.00,0.11,0.00,0.03,0.06,0.71,0.00,0.40,0.71,0.51,0.96,1.61,0.28,2.41,0.82,0.31,0.03,0.45,0.08,0.03,0.82,0.14,0.23,0.08,0.23,0.68,0.37,1.84,0.06,0.06,0.00,0.00,0.51,0.03,0.00,0.00,0.11,0.74,4.70,0.17,0.71,0.96,2.04,0.74,0.74,0.62,0.28,0.71,2.95,2.38,0.00,1.95,1.67,0.76,6.46,0.54
3/iii,4.11,2.09,1.05,2.69,1.87,2.32,1.20,1.65,0.30,0.07,0.37,0.30,2.32,1.27,0.82,1.80,0.37,0.15,1.72,0.15,0.52,0.15,1.12,0.07,3.22,0.30,0.82,0.15,0.15,0.07,0.60,0.60,0.00,0.00,0.30,0.07,0.07,0.07,0.00,0.00,0.00,1.12,1.35,0.82,1.27,0.07,0.37,0.15,1.05,0.60,0.60,0.22,0.52,0.30,0.22,0.00,0.67,0.60,0.00,0.00,0.15,0.07,0.00,0.60,0.37,1.57,0.30,0.00,0.00,0.00,0.22,0.00,0.00,0.97,0.75,0.00,0.00,0.00,0.00,0.60,0.67,0.75,1.94,1.27,0.37,0.15,0.60,0.67,0.07,0.45,0.00,0.15,0.82,0.07,0.07,0.00,0.37,0.15,0.07,0.67,0.00,0.52,0.00,0.07,0.00,0.15,0.00,0.15,0.00,0.67,0.00,0.30,0.00,0.00,0.07,1.35,0.00,0.00,0.07,0.00,0.00,0.07,0.22,0.00,0.00,0.00,0.00,0.00,0.00,0.90,0.22,1.42,0.30,0.52,0.15,0.15,0.60,0.30,0.67,0.00,0.22,0.22,0.07,2.54,0.15,1.57,0.00,0.30,0.00,0.00,0.00,0.00,0.82,0.00,0.45,0.00,0.15,0.00,0.00,0.00,0.45,0.00,0.00,0.00,0.00,0.00,0.00,1.05,1.05,0.52,0.07,1.05,0.07,0.00,0.45,1.50,0.15,0.90,0.22,0.30,0.15,0.00,0.75,0.00,0.00,0.22,0.00,0.75,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.22,0.82,0.75,0.75,0.22,0.82,0.97,0.97,0.00,0.22,0.22,0.00,0.00,1.12,1.35,1.72,0.07,0.22,0.22,3.44,0.97
3/iv,2.57,1.44,2.03,2.41,0.91,0.64,0.59,1.23,0.27,1.12,0.96,0.21,0.70,1.02,0.96,1.28,0.16,0.43,0.80,0.37,0.37,0.96,0.54,1.07,0.80,0.43,0.48,0.11,0.05,0.37,1.07,0.91,0.27,0.00,0.32,0.00,0.59,0.00,0.32,0.05,0.00,0.54,0.75,0.48,0.48,0.91,0.16,0.16,0.21,0.91,0.54,0.80,0.48,0.37,0.11,0.43,0.21,0.70,0.16,0.11,0.48,0.11,0.05,0.43,1.93,0.27,0.16,0.21,0.54,0.48,0.37,0.11,0.32,0.48,1.07,0.11,0.27,0.00,0.05,0.59,0.37,0.32,0.11,0.48,0.16,0.43,0.59,0.37,0.27,0.16,0.27,0.64,0.05,0.32,0.43,0.48,0.27,0.11,0.27,1.18,0.54,0.48,0.05,0.05,0.59,0.54,0.05,1.71,0.64,0.37,0.37,0.00,0.54,0.11,0.32,0.21,0.00,0.05,0.54,0.16,0.11,0.16,0.11,0.16,0.00,0.05,0.16,0.00,0.00,0.00,0.48,0.11,0.75,0.59,0.16,0.64,0.00,0.32,1.07,0.48,0.21,0.21,0.27,0.43,0.16,0.48,0.86,1.07,0.11,0.32,0.11,0.00,1.12,0.00,0.05,0.27,0.27,0.32,0.80,0.21,0.27,0.37,0.32,0.00,0.32,0.05,0.16,0.21,1.61,0.21,1.02,0.00,0.54,0.64,0.37,0.00,0.11,0.05,0.32,0.48,0.80,0.05,0.27,0.00,0.11,0.16,0.96,0.48,0.00,0.86,0.00,0.00,0.54,0.37,0.00,0.00,0.37,0.59,2.25,0.21,1.12,0.00,1.23,0.27,0.00,0.00,0.00,0.16,0.64,0.21,0.21,0.70,1.39,0.54,4.23,1.61
3/v,6.58,3.76,5.64,7.99,4.23,0.85,0.85,1.97,0.09,1.32,0.56,0.38,3.38,0.94,0.66,5.36,0.00,0.75,0.94,1.41,0.28,4.61,2.54,0.94,1.41,0.75,1.03,0.75,1.50,0.09,1.22,0.28,0.00,0.00,0.19,0.00,0.00,0.00,0.28,0.19,0.00,1.13,0.56,0.75,0.19,0.28,1.41,0.28,0.00,1.41,0.09,0.66,2.91,1.03,0.94,0.47,0.19,0.19,0.09,0.00,2.26,0.00,0.19,0.28,1.69,2.16,0.28,0.00,0.38,0.00,0.00,0.00,0.00,0.09,0.09,0.00,0.00,0.00,0.85,0.85,0.75,0.00,0.00,1.22,0.09,0.09,1.60,0.19,0.28,0.09,0.19,0.38,0.09,0.75,0.09,0.00,0.00,0.00,0.09,0.38,0.28,0.09,0.00,1.79,0.09,0.00,0.47,0.09,0.38,0.47,0.00,0.00,0.09,0.00,0.00,0.00,0.00,0.00,0.00,0.19,0.00,0.00,0.38,0.00,0.00,0.00,0.00,0.00,0.00,0.47,0.00,0.00,0.19,0.00,0.00,0.09,0.00,0.38,0.00,0.38,0.00,0.00,0.00,0.66,0.38,0.00,0.00,0.00,0.00,0.09,0.00,0.00,0.00,0.00,0.00,0.00,0.28,0.00,0.00,0.09,0.28,0.00,0.00,0.00,0.28,0.00,0.19,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.09,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.09,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
4/i,4.26,6.21,4.83,10.70,6.21,1.04,1.04,5.06,1.38,1.04,2.30,0.46,0.35,1.15,2.07,0.69,0.46,1.50,1.38,0.92,1.84,0.81,1.27,0.58,0.46,1.38,2.42,2.99,0.00,0.58,1.04,0.81,0.12,0.92,0.92,0.00,1.61,0.58,0.23,0.00,0.00,0.35,0.58,0.12,0.23,0.46,0.23,0.23,1.27,1.96,0.23,2.07,0.23,0.46,0.23,0.81,0.12,0.00,0.69,0.12,0.00,0.46,0.12,0.46,0.46,0.69,1.15,0.00,0.00,0.12,1.04,0.00,0.46,0.46,0.12,0.23,0.00,0.23,0.00,0.12,0.00,0.00,0.12,0.12,0.00,0.00,0.00,0.58,0.12,0.00,0.58,0.00,1.04,0.00,0.23,0.58,0.46,0.23,0.00,0.58,0.00,0.00,0.12,0.00,0.92,0.00,0.00,0.35,0.00,0.12,0.00,0.00,0.00,0.00,0.12,0.35,0.12,0.00,0.23,0.00,0.00,0.23,0.23,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.12,0.00,0.00,0.12,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.35,0.00,0.00,0.58,0.46,0.00,0.23,0.35,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.23,0.23,0.00,0.00,0.00,0.00,0.00,0.00,0.81,0.00,0.00,0.12,0.00,0.00,0.35,0.00,0.12,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.23,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.35,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
4/ii,11.83,3.96,0.99,2.54,3.40,0.56,0.56,0.99,0.26,0.69,0.30,0.00,2.71,4.56,2.45,1.89,0.82,0.34,0.56,0.86,0.52,0.13,0.86,0.60,0.04,0.86,0.73,0.13,1.68,0.34,0.47,0.26,0.04,0.04,0.26,0.04,0.56,0.04,0.00,0.04,0.04,3.74,3.83,0.86,1.89,0.69,0.99,0.04,0.47,1.03,0.39,0.43,0.99,0.00,0.26,0.13,0.00,0.13,0.34,0.09,0.34,0.34,0.60,0.47,0.09,0.00,0.22,0.13,0.00,0.09,0.00,0.09,0.22,0.34,0.09,0.13,0.00,0.04,0.00,0.65,0.73,1.12,0.00,0.77,0.77,0.30,0.56,0.30,0.39,0.22,1.42,0.04,0.17,0.22,0.09,0.26,0.39,0.04,0.22,0.17,0.00,0.52,0.13,0.00,0.04,0.00,0.04,0.00,0.00,0.00,0.13,0.09,0.00,0.00,0.17,0.04,0.26,0.56,0.04,0.00,0.09,0.00,0.26,0.56,0.00,0.00,0.13,0.00,0.00,0.17,0.22,0.17,0.30,0.30,0.17,0.13,0.39,0.60,0.17,0.09,0.47,0.30,0.30,0.86,1.51,0.56,0.00,0.09,0.09,0.00,0.04,0.13,0.00,0.00,0.17,0.00,0.17,0.00,0.13,0.00,0.00,0.00,0.22,0.00,0.09,0.30,0.00,0.04,0.52,0.13,0.30,0.52,0.17,0.52,0.13,0.73,0.04,0.73,0.30,0.09,0.09,0.04,0.04,0.30,0.60,0.39,0.09,0.04,0.04,0.09,0.00,0.00,0.22,0.00,0.00,0.00,0.26,0.09,1.38,0.26,0.90,0.13,1.12,0.09,0.00,0.56,0.04,0.00,0.56,0.34,0.13,0.09,0.00,0.22,0.26,0.00
4/iii,5.91,4.29,2.86,6.67,5.62,1.14,3.34,3.05,0.76,0.38,1.72,0.48,2.48,1.24,2.19,2.29,1.53,0.48,0.67,0.48,0.57,0.67,2.00,0.29,0.95,2.38,1.53,0.19,0.48,0.10,0.57,0.48,0.10,0.48,0.38,0.19,1.43,0.48,0.29,0.10,0.00,1.43,0.76,0.48,1.43,0.76,0.38,0.67,0.76,0.95,0.38,0.67,1.33,0.67,0.19,0.19,0.48,0.19,0.19,0.00,1.24,0.76,0.00,0.29,0.10,0.19,0.19,0.19,0.38,0.00,0.48,0.00,0.19,0.76,0.38,0.00,0.00,0.00,0.19,0.67,0.19,1.05,0.76,0.48,0.00,0.29,0.38,0.38,0.10,0.10,0.00,0.19,0.19,0.10,0.10,0.10,0.19,0.10,0.29,1.14,0.38,0.48,0.10,0.19,0.00,0.10,0.10,0.10,0.10,0.76,0.19,0.19,0.00,0.00,0.00,0.10,0.38,0.00,0.10,0.00,0.00,0.00,0.57,0.29,0.00,0.10,0.29,0.00,0.00,0.38,0.00,0.48,0.10,0.00,0.57,0.29,0.00,0.10,0.29,0.10,0.19,0.38,0.10,0.19,0.48,0.00,0.00,0.00,0.10,0.00,0.10,0.00,0.00,0.00,0.29,0.38,0.29,0.00,0.10,0.10,0.00,0.00,0.00,0.00,0.48,0.10,0.00,0.00,0.38,0.38,0.00,0.38,0.10,0.00,0.00,0.29,0.00,0.00,0.00,0.10,0.38,0.29,0.00,0.00,0.00,0.10,0.00,0.00,0.00,0.00,0.00,0.00,0.19,0.00,0.00,0.00,0.00,0.38,1.33,0.29,0.00,0.00,0.00,0.00,0.00,0.00,0.10,0.00,0.10,0.00,0.00,0.00,0.00,0.00,0.00,0.00
