Movt.,f1,f2,f3,f4,f5,f6
1,0.31,0.35,0.31,0.31,0.31,0.25
2,2.44,2.52,3.00,4.46,3.66,2.52
3/i,3.07,2.81,3.49,3.14,2.77,2.79
3/ii,1.70,3.15,3.65,3.15,2.10,1.03
3/iii,3.43,2.37,4.31,4.77,2.33,0.92
3/iv,2.48,2.48,2.45,2.94,2.94,2.33
3/v,3.26,2.17,2.54,4.35,3.12,2.17
4/i,1.28,1.38,1.53,2.08,1.03,1.26
4/ii,2.32,2.47,3.10,2.66,1.59,0.94
4/iii,1.04,2.42,1.59,1.75,1.20,1.46
4/iv,3.16,2.41,2.15,3.38,2.91,2.16
4/v,3.04,2.43,4.42,2.43,2.34,1.71
5/i,0.73,1.21,1.39,1.22,0.93,0.56
5/ii,3.09,4.12,6.19,4.12,3.09,2.06
5/iii,2.51,2.23,2.78,2.37,1.47,2.37
5/iv,2.93,8.78,3.89,3.36,2.93,3.42
5/v,2.58,5.03,2.58,2.15,2.15,1.70
6/i,1.07,2.12,1.82,1.34,1.07,0.89
6/ii,1.38,1.35,1.54,1.38,1.07,1.13
6/iii,4.91,7.89,5.26,6.80,3.98,3.95
6/iv,3.45,2.35,2.05,3.37,1.60,1.97
6/v,2.89,1.45,3.61,2.17,1.80,1.45
6/vi,2.28,3.21,3.70,3.50,2.53,1.75
7/i,2.53,4.27,4.88,2.85,3.26,2.44
7/ii,1.45,1.23,1.90,1.45,1.16,1.01
7/iii,3.41,2.98,4.21,2.98,3.41,1.72
7/iv,3.16,3.15,5.42,4.34,3.13,2.17
8/i,2.69,3.08,2.69,3.30,1.50,2.06
8/ii,1.67,1.48,1.97,1.72,1.97,0.98
10/i,9.04,5.23,3.25,2.26,3.54,2.20
9/iii,3.00,6.01,5.44,5.44,2.72,2.91
9/iv,6.40,9.88,6.83,3.21,6.89,1.50
9/v,13.36,25.63,13.03,3.15,7.39,5.04
9/vi,4.18,5.59,5.28,3.26,2.92,2.64
10/ii,2.31,3.64,4.01,2.35,2.41,1.46
9/i,6.98,4.40,5.49,3.40,2.90,1.28
10/iv,7.78,14.58,5.73,2.08,5.00,0.00
10/iii,5.88,2.36,4.72,1.89,2.35,2.83
9/ii,4.52,6.02,7.53,3.01,3.50,1.51
10/v,2.24,2.24,2.99,2.62,2.00,1.50
13/ii,1.37,1.67,1.31,1.43,0.95,0.83
11/i,7.43,8.11,10.14,8.11,4.78,5.41
11/ii,3.49,7.24,9.65,4.32,2.15,4.27
11/iii,25.03,11.76,13.24,11.76,7.66,25.00
12/i,2.14,2.49,2.49,3.20,2.50,1.42
12/iii,1.78,1.67,1.67,1.67,1.25,1.15
12/iv,3.35,2.69,2.69,3.59,2.00,1.57
12/ii,1.64,2.12,1.67,2.12,1.51,1.41
13/i,0.95,0.97,0.99,1.27,1.01,0.59
14/iv,3.70,3.32,3.06,3.44,2.64,1.40
13/iii,1.82,1.46,1.54,1.30,1.47,0.65
15/v,3.49,2.52,4.65,4.65,3.88,3.10
13/iv,1.40,1.50,1.69,1.35,1.41,1.12
14/iii,1.79,1.90,1.51,2.42,1.56,1.12
14/vi,1.67,1.34,1.79,1.34,1.28,0.89
14/v,3.19,2.79,3.71,2.79,2.24,2.23
